,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
926,Negative,Negative,Neutral,Neutral,Neutral,Negative
927,Negative,Negative,Neutral,Negative,Neutral,Negative
928,Negative,Negative,Negative,Neutral,Neutral,Negative
929,Negative,Negative,Negative,Neutral,Neutral,Negative
930,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
931,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
932,Positive,Positive,Neutral,Neutral,Neutral,Positive
933,Positive,Positive,Neutral,Neutral,Neutral,Positive
934,Negative,Negative,Negative,Neutral,Neutral,Neutral
935,Negative,Negative,Negative,Neutral,Neutral,Neutral
936,Positive,Positive,Neutral,Neutral,Neutral,Positive
937,Negative,Neutral,Neutral,Negative,Neutral,Negative
938,Negative,Neutral,Neutral,Neutral,Neutral,Negative
939,Negative,Neutral,Neutral,Neutral,Neutral,Negative
940,Negative,Neutral,Negative,Neutral,Neutral,Negative
941,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
942,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
943,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
944,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
945,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
946,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
947,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
948,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
949,Negative,Negative,Negative,Negative,Neutral,Neutral
950,Positive,Positive,Neutral,Neutral,Neutral,Positive
951,Positive,Neutral,Positive,Neutral,Neutral,Neutral
952,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
953,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
954,Neutral,Neutral,Neutral,Positive,Positive,Neutral
955,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
956,Positive,Positive,Neutral,Neutral,Neutral,Positive
957,Positive,Positive,Neutral,Neutral,Neutral,Positive
958,Positive,Positive,Neutral,Neutral,Neutral,Positive
959,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
960,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
961,Positive,Positive,Neutral,Negative,Neutral,Positive
962,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
963,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
964,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
965,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
966,Positive,Positive,Neutral,Neutral,Neutral,Positive
967,Positive,Positive,Neutral,Neutral,Neutral,Positive
968,Positive,Positive,Neutral,Neutral,Neutral,Positive
969,Positive,Positive,Neutral,Neutral,Neutral,Positive
970,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
971,Positive,Positive,Neutral,Neutral,Neutral,Positive
972,Positive,Positive,Neutral,Neutral,Neutral,Positive
973,Positive,Positive,Neutral,Neutral,Neutral,Positive
974,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
975,Negative,Neutral,Neutral,Neutral,Neutral,Negative
976,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
977,Positive,Positive,Neutral,Neutral,Neutral,Positive
978,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
979,Positive,Positive,Neutral,Neutral,Neutral,Positive
980,Positive,Positive,Neutral,Neutral,Neutral,Positive
981,Positive,Positive,Neutral,Neutral,Neutral,Positive
982,Positive,Positive,Neutral,Neutral,Neutral,Positive
983,Positive,Positive,Neutral,Neutral,Neutral,Positive
984,Positive,Positive,Neutral,Neutral,Neutral,Positive
985,Positive,Neutral,Neutral,Neutral,Neutral,Positive
986,Positive,Neutral,Neutral,Neutral,Neutral,Positive
987,Positive,Neutral,Neutral,Neutral,Neutral,Positive
988,Positive,Neutral,Neutral,Neutral,Neutral,Positive
989,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
990,Neutral,Neutral,Neutral,Negative,Neutral,Positive
991,Neutral,Neutral,Neutral,Negative,Neutral,Positive
992,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
993,Positive,Positive,Neutral,Neutral,Neutral,Positive
994,Positive,Positive,Neutral,Neutral,Neutral,Positive
995,Positive,Positive,Neutral,Neutral,Neutral,Positive
996,Positive,Positive,Neutral,Neutral,Neutral,Positive
997,Positive,Positive,Neutral,Neutral,Neutral,Positive
998,Positive,Positive,Neutral,Neutral,Neutral,Positive
999,Positive,Positive,Neutral,Neutral,Neutral,Positive
1000,Positive,Positive,Neutral,Neutral,Neutral,Positive
1001,Positive,Positive,Neutral,Neutral,Neutral,Positive
1002,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1003,Positive,Positive,Neutral,Neutral,Neutral,Positive
1004,Positive,Positive,Neutral,Neutral,Neutral,Positive
1005,Positive,Positive,Neutral,Neutral,Positive,Positive
1006,Positive,Positive,Neutral,Neutral,Neutral,Positive
1007,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1008,Negative,Neutral,Negative,Neutral,Neutral,Neutral
1009,Negative,Neutral,Negative,Neutral,Neutral,Negative
1010,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
1011,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1012,Positive,Neutral,Neutral,Neutral,Positive,Neutral
1013,Positive,Neutral,Neutral,Positive,Positive,Neutral
1014,Positive,Neutral,Neutral,Neutral,Positive,Neutral
1015,Negative,Negative,Neutral,Negative,Neutral,Negative
1016,Negative,Negative,Neutral,Negative,Neutral,Negative
1017,Negative,Negative,Neutral,Negative,Neutral,Negative
1018,Negative,Negative,Neutral,Negative,Neutral,Negative
1019,Negative,Negative,Neutral,Negative,Neutral,Negative
1020,Neutral,Negative,Neutral,Positive,Positive,Neutral
1021,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
1022,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
1023,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1024,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1025,Positive,Positive,Neutral,Neutral,Neutral,Positive
1026,Neutral,Negative,Negative,Positive,Positive,Negative
1027,Negative,Negative,Negative,Positive,Positive,Negative
1028,Positive,Positive,Neutral,Neutral,Neutral,Positive
1029,Negative,Negative,Negative,Positive,Positive,Negative
1030,Positive,Positive,Neutral,Neutral,Neutral,Positive
1031,Positive,Positive,Neutral,Neutral,Neutral,Positive
1032,Positive,Positive,Neutral,Neutral,Neutral,Positive
1033,Positive,Positive,Neutral,Neutral,Neutral,Positive
1034,Neutral,Neutral,Negative,Positive,Positive,Negative
1035,Neutral,Neutral,Negative,Positive,Positive,Negative
1036,Neutral,Neutral,Negative,Positive,Positive,Negative
1037,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1038,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1039,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1040,Negative,Negative,Negative,Positive,Positive,Negative
1041,Neutral,Neutral,Neutral,Positive,Positive,Negative
1042,Neutral,Neutral,Neutral,Positive,Positive,Negative
1043,Positive,Positive,Neutral,Neutral,Neutral,Positive
1044,Negative,Neutral,Neutral,Neutral,Neutral,Negative
1045,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1046,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1047,Positive,Positive,Neutral,Neutral,Neutral,Positive
1048,Positive,Positive,Neutral,Neutral,Neutral,Positive
1049,Positive,Positive,Neutral,Neutral,Neutral,Positive
1050,Positive,Positive,Neutral,Neutral,Neutral,Positive
1051,Positive,Neutral,Neutral,Neutral,Neutral,Negative
1052,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1053,Positive,Positive,Neutral,Neutral,Neutral,Positive
1054,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1055,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1056,Neutral,Negative,Negative,Neutral,Neutral,Negative
1057,Negative,Negative,Negative,Negative,Neutral,Negative
1058,Negative,Negative,Negative,Negative,Neutral,Negative
1059,Positive,Positive,Neutral,Neutral,Neutral,Positive
1060,Positive,Positive,Neutral,Neutral,Neutral,Positive
1061,Positive,Positive,Neutral,Neutral,Neutral,Positive
1062,Positive,Positive,Neutral,Neutral,Neutral,Positive
1063,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1065,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1066,Positive,Positive,Neutral,Neutral,Neutral,Positive
1067,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1068,Positive,Positive,Neutral,Neutral,Neutral,Positive
1069,Positive,Positive,Neutral,Neutral,Neutral,Positive
1070,Positive,Neutral,Positive,Positive,Positive,Neutral
1071,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1072,Neutral,Positive,Neutral,Negative,Neutral,Neutral
1073,Positive,Positive,Neutral,Neutral,Neutral,Positive
1074,Positive,Positive,Neutral,Neutral,Neutral,Positive
1075,Positive,Positive,Neutral,Neutral,Neutral,Positive
1076,Positive,Positive,Positive,Neutral,Neutral,Neutral
1077,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1078,Positive,Positive,Neutral,Neutral,Neutral,Positive
1079,Positive,Positive,Neutral,Neutral,Neutral,Positive
1080,Neutral,Negative,Neutral,Negative,Neutral,Neutral
1081,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1082,Positive,Positive,Neutral,Neutral,Neutral,Positive
1083,Positive,Positive,Neutral,Neutral,Neutral,Positive
1084,Positive,Positive,Neutral,Neutral,Neutral,Positive
1085,Positive,Positive,Neutral,Neutral,Neutral,Positive
1086,Positive,Positive,Neutral,Neutral,Neutral,Positive
1087,Positive,Positive,Neutral,Negative,Neutral,Positive
1088,Positive,Positive,Neutral,Neutral,Neutral,Positive
1089,Positive,Positive,Neutral,Neutral,Neutral,Positive
1090,Positive,Positive,Positive,Neutral,Neutral,Neutral
1091,Positive,Positive,Neutral,Neutral,Neutral,Positive
1092,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1093,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1094,Positive,Positive,Neutral,Neutral,Neutral,Positive
1095,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1096,Positive,Positive,Neutral,Neutral,Neutral,Positive
1097,Positive,Positive,Neutral,Neutral,Neutral,Positive
1098,Neutral,Neutral,Neutral,Negative,Neutral,Positive
1099,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1100,Positive,Positive,Neutral,Neutral,Neutral,Positive
1101,Positive,Positive,Neutral,Neutral,Neutral,Positive
1102,Negative,Neutral,Neutral,Negative,Neutral,Neutral
1103,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1104,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1105,Positive,Positive,Neutral,Neutral,Neutral,Positive
1106,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1107,Positive,Positive,Neutral,Neutral,Neutral,Positive
1108,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1109,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1110,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1111,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1112,Positive,Positive,Neutral,Neutral,Neutral,Positive
1113,Positive,Positive,Neutral,Neutral,Neutral,Positive
1114,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
1115,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
1116,Positive,Positive,Neutral,Neutral,Neutral,Positive
1117,Positive,Positive,Neutral,Neutral,Neutral,Positive
1118,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
1119,Positive,Positive,Neutral,Neutral,Neutral,Positive
1120,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1121,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1122,Neutral,Neutral,Neutral,Negative,Negative,Neutral
1123,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1124,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1125,Positive,Positive,Neutral,Neutral,Neutral,Positive
1126,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1127,Positive,Positive,Neutral,Neutral,Neutral,Positive
1128,Neutral,Positive,Positive,Neutral,Neutral,Neutral
1129,Positive,Negative,Neutral,Negative,Neutral,Neutral
1130,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1131,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1132,Positive,Positive,Neutral,Neutral,Neutral,Positive
1133,Positive,Positive,Neutral,Neutral,Neutral,Positive
1134,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1135,Positive,Positive,Neutral,Neutral,Neutral,Positive
1136,Positive,Neutral,Neutral,Neutral,Neutral,Negative
1137,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1138,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1139,Positive,Positive,Neutral,Neutral,Neutral,Positive
1140,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
1141,Positive,Positive,Neutral,Neutral,Neutral,Positive
1142,Positive,Positive,Neutral,Neutral,Neutral,Positive
1143,Positive,Neutral,Positive,Neutral,Positive,Neutral
1144,Positive,Neutral,Neutral,Negative,Neutral,Positive
1145,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1146,Positive,Positive,Neutral,Neutral,Neutral,Positive
1147,Positive,Positive,Neutral,Neutral,Neutral,Positive
1148,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1149,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1150,Positive,Positive,Neutral,Neutral,Neutral,Positive
1151,Positive,Positive,Neutral,Neutral,Neutral,Positive
1152,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
1153,Positive,Positive,Neutral,Neutral,Neutral,Positive
1154,Positive,Positive,Neutral,Neutral,Neutral,Positive
1155,Neutral,Neutral,Neutral,Negative,Negative,Neutral
1156,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1157,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1158,Positive,Positive,Neutral,Neutral,Neutral,Positive
1159,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1160,Positive,Positive,Neutral,Neutral,Positive,Positive
1161,Positive,Positive,Neutral,Neutral,Neutral,Positive
1162,Positive,Positive,Neutral,Neutral,Neutral,Positive
1163,Positive,Positive,Neutral,Negative,Neutral,Positive
1164,Positive,Positive,Neutral,Neutral,Neutral,Positive
1165,Positive,Positive,Neutral,Neutral,Neutral,Positive
1166,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1167,Positive,Positive,Neutral,Neutral,Neutral,Positive
1168,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1169,Neutral,Neutral,Positive,Positive,Positive,Neutral
1170,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
1171,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1172,Positive,Positive,Neutral,Neutral,Neutral,Positive
1173,Positive,Positive,Neutral,Neutral,Neutral,Positive
1174,Positive,Positive,Neutral,Neutral,Neutral,Positive
1175,Positive,Positive,Neutral,Neutral,Neutral,Positive
1176,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1177,Positive,Positive,Neutral,Neutral,Neutral,Positive
1178,Positive,Positive,Neutral,Neutral,Neutral,Positive
1179,Positive,Positive,Neutral,Neutral,Neutral,Positive
1180,Neutral,Neutral,Neutral,Neutral,Positive,Positive
1181,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1182,Positive,Positive,Neutral,Neutral,Neutral,Positive
1183,Positive,Positive,Neutral,Neutral,Neutral,Positive
1184,Positive,Neutral,Neutral,Positive,Positive,Neutral
1185,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1186,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
1187,Neutral,Neutral,Neutral,Negative,Neutral,Positive
1188,Positive,Positive,Neutral,Neutral,Neutral,Positive
1189,Positive,Positive,Neutral,Neutral,Neutral,Positive
1190,Positive,Positive,Neutral,Neutral,Neutral,Positive
1191,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1192,Positive,Positive,Neutral,Neutral,Neutral,Positive
1193,Positive,Positive,Neutral,Neutral,Neutral,Positive
1194,Positive,Positive,Neutral,Neutral,Neutral,Positive
1195,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1196,Positive,Positive,Neutral,Neutral,Neutral,Positive
1197,Negative,Negative,Negative,Negative,Neutral,Neutral
1198,Positive,Positive,Neutral,Neutral,Neutral,Positive
1199,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1200,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1201,Positive,Positive,Neutral,Neutral,Neutral,Positive
1202,Positive,Neutral,Neutral,Positive,Positive,Positive
1203,Positive,Positive,Neutral,Neutral,Neutral,Positive
1204,Positive,Positive,Neutral,Neutral,Neutral,Positive
1205,Positive,Positive,Neutral,Neutral,Neutral,Positive
1206,Positive,Positive,Neutral,Neutral,Neutral,Positive
1207,Positive,Positive,Neutral,Neutral,Neutral,Positive
1208,Positive,Positive,Neutral,Neutral,Neutral,Positive
1209,Positive,Neutral,Neutral,Neutral,Positive,Positive
1210,Positive,Positive,Neutral,Neutral,Neutral,Positive
1211,Positive,Positive,Neutral,Neutral,Neutral,Positive
1212,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
1213,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
1214,Positive,Positive,Neutral,Neutral,Neutral,Positive
1215,Positive,Positive,Neutral,Neutral,Neutral,Positive
1216,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1217,Positive,Positive,Neutral,Neutral,Neutral,Positive
1218,Positive,Positive,Neutral,Neutral,Neutral,Positive
1219,Positive,Positive,Neutral,Neutral,Neutral,Positive
1220,Positive,Positive,Neutral,Neutral,Neutral,Positive
1221,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1222,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1223,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1224,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
1225,Positive,Positive,Neutral,Neutral,Neutral,Positive
1226,Negative,Neutral,Neutral,Negative,Neutral,Negative
1227,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1228,Positive,Positive,Neutral,Neutral,Neutral,Positive
1229,Positive,Positive,Neutral,Neutral,Neutral,Positive
1230,Positive,Positive,Neutral,Neutral,Neutral,Positive
1231,Positive,Positive,Neutral,Neutral,Neutral,Positive
1232,Positive,Positive,Neutral,Neutral,Neutral,Positive
1233,Positive,Positive,Neutral,Neutral,Neutral,Positive
1234,Positive,Positive,Neutral,Neutral,Neutral,Positive
1235,Positive,Positive,Neutral,Neutral,Neutral,Positive
1236,Positive,Positive,Neutral,Neutral,Neutral,Positive
1237,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1238,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1239,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1240,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1241,Positive,Positive,Neutral,Neutral,Neutral,Positive
1242,Positive,Neutral,Neutral,Neutral,Neutral,Positive
1243,Positive,Neutral,Neutral,Neutral,Neutral,Positive
1244,Neutral,Neutral,Neutral,Negative,Neutral,Positive
1245,Neutral,Neutral,Positive,Negative,Neutral,Positive
1246,Positive,Positive,Neutral,Neutral,Neutral,Positive
1247,Positive,Positive,Neutral,Neutral,Neutral,Positive
1248,Positive,Positive,Neutral,Neutral,Neutral,Positive
1249,Positive,Positive,Neutral,Neutral,Neutral,Positive
1250,Positive,Positive,Neutral,Neutral,Neutral,Positive
1251,Positive,Positive,Neutral,Neutral,Neutral,Positive
1252,Positive,Positive,Neutral,Neutral,Neutral,Positive
1253,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1254,Positive,Positive,Neutral,Neutral,Neutral,Positive
1255,Neutral,Positive,Positive,Neutral,Neutral,Neutral
1256,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1257,Negative,Negative,Negative,Neutral,Neutral,Negative
1258,Neutral,Positive,Positive,Neutral,Neutral,Neutral
1259,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1260,Positive,Positive,Neutral,Neutral,Neutral,Positive
1261,Positive,Positive,Neutral,Neutral,Neutral,Positive
1262,Positive,Positive,Neutral,Neutral,Neutral,Positive
1263,Positive,Positive,Neutral,Neutral,Neutral,Positive
1264,Negative,Negative,Neutral,Neutral,Neutral,Negative
1265,Positive,Positive,Neutral,Neutral,Neutral,Positive
1266,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1267,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1268,Positive,Positive,Neutral,Neutral,Neutral,Positive
1269,Negative,Negative,Neutral,Positive,Neutral,Negative
1270,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1271,Positive,Positive,Neutral,Neutral,Neutral,Positive
1272,Neutral,Negative,Neutral,Positive,Positive,Neutral
1273,Positive,Positive,Neutral,Neutral,Neutral,Positive
1274,Positive,Positive,Neutral,Neutral,Neutral,Positive
1275,Positive,Positive,Neutral,Neutral,Neutral,Positive
1276,Positive,Positive,Neutral,Neutral,Neutral,Positive
1277,Positive,Positive,Neutral,Neutral,Neutral,Positive
1278,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
1279,Neutral,Negative,Neutral,Negative,Neutral,Neutral
1280,Positive,Positive,Neutral,Neutral,Neutral,Positive
1281,Negative,Negative,Neutral,Neutral,Neutral,Negative
1282,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1283,Positive,Positive,Neutral,Neutral,Neutral,Positive
1284,Positive,Positive,Neutral,Neutral,Neutral,Positive
1285,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1286,Negative,Neutral,Negative,Positive,Neutral,Negative
1287,Negative,Negative,Negative,Positive,Positive,Negative
1288,Positive,Positive,Neutral,Neutral,Neutral,Positive
1289,Negative,Negative,Neutral,Positive,Neutral,Negative
1290,Negative,Negative,Neutral,Neutral,Neutral,Negative
1291,Positive,Positive,Neutral,Neutral,Neutral,Positive
1292,Positive,Positive,Neutral,Neutral,Neutral,Positive
1293,Positive,Neutral,Neutral,Neutral,Neutral,Negative
1294,Positive,Positive,Neutral,Neutral,Neutral,Positive
1295,Negative,Negative,Neutral,Neutral,Neutral,Negative
1296,Positive,Positive,Neutral,Neutral,Neutral,Positive
1297,Neutral,Neutral,Negative,Negative,Neutral,Neutral
1298,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
1299,Positive,Positive,Neutral,Neutral,Neutral,Positive
1300,Positive,Positive,Neutral,Neutral,Neutral,Positive
1301,Positive,Positive,Neutral,Neutral,Neutral,Positive
1302,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
1303,Positive,Positive,Neutral,Neutral,Neutral,Positive
1304,Positive,Positive,Neutral,Neutral,Neutral,Positive
1305,Positive,Positive,Neutral,Neutral,Neutral,Positive
1306,Positive,Positive,Neutral,Neutral,Neutral,Positive
1307,Positive,Positive,Neutral,Neutral,Neutral,Positive
1308,Negative,Negative,Neutral,Neutral,Neutral,Negative
1309,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
1310,Positive,Positive,Neutral,Neutral,Neutral,Positive
1311,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1312,Positive,Positive,Neutral,Neutral,Neutral,Positive
1313,Positive,Positive,Neutral,Neutral,Neutral,Positive
1314,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1315,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1316,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1317,Positive,Positive,Positive,Neutral,Positive,Neutral
1318,Positive,Positive,Positive,Neutral,Positive,Neutral
1319,Positive,Positive,Positive,Neutral,Neutral,Neutral
1320,Positive,Positive,Neutral,Neutral,Neutral,Positive
1321,Positive,Positive,Neutral,Neutral,Neutral,Positive
1322,Positive,Positive,Neutral,Neutral,Neutral,Positive
1323,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1324,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1325,Positive,Positive,Neutral,Neutral,Neutral,Positive
1326,Positive,Positive,Neutral,Neutral,Neutral,Positive
1327,Positive,Positive,Neutral,Neutral,Neutral,Positive
1328,Positive,Neutral,Positive,Neutral,Neutral,Neutral
1329,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1330,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1331,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1332,Positive,Positive,Positive,Neutral,Neutral,Neutral
1333,Positive,Positive,Positive,Neutral,Neutral,Positive
1334,Positive,Positive,Neutral,Neutral,Neutral,Positive
1335,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1336,Positive,Positive,Neutral,Neutral,Neutral,Positive
1337,Positive,Positive,Neutral,Neutral,Neutral,Positive
1338,Positive,Positive,Neutral,Neutral,Neutral,Positive
1339,Positive,Positive,Neutral,Neutral,Neutral,Positive
1340,Positive,Positive,Neutral,Neutral,Neutral,Positive
1341,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1342,Neutral,Neutral,Neutral,Positive,Positive,Neutral
1343,Positive,Positive,Neutral,Neutral,Neutral,Positive
1344,Positive,Positive,Neutral,Neutral,Neutral,Positive
1345,Positive,Positive,Neutral,Neutral,Neutral,Positive
1346,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1347,Positive,Positive,Neutral,Neutral,Neutral,Positive
1348,Positive,Positive,Positive,Neutral,Neutral,Positive
1349,Positive,Positive,Neutral,Neutral,Neutral,Positive
1350,Positive,Positive,Neutral,Neutral,Neutral,Positive
1351,Neutral,Positive,Positive,Neutral,Neutral,Neutral
1352,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1353,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1354,Positive,Positive,Positive,Neutral,Positive,Positive
1355,Positive,Positive,Neutral,Neutral,Neutral,Positive
1356,Positive,Positive,Neutral,Neutral,Neutral,Positive
1357,Positive,Positive,Neutral,Neutral,Neutral,Positive
1358,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
1359,Positive,Positive,Neutral,Neutral,Neutral,Positive
1360,Positive,Positive,Neutral,Neutral,Neutral,Positive
1361,Positive,Positive,Positive,Neutral,Neutral,Neutral
1362,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1363,Positive,Positive,Neutral,Neutral,Neutral,Positive
1364,Positive,Positive,Neutral,Neutral,Neutral,Positive
1365,Positive,Positive,Neutral,Neutral,Neutral,Positive
1366,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
1367,Neutral,Neutral,Positive,Neutral,Neutral,Positive
1368,Positive,Positive,Neutral,Neutral,Neutral,Positive
1369,Neutral,Positive,Positive,Negative,Neutral,Neutral
1370,Neutral,Positive,Positive,Negative,Neutral,Neutral
1371,Positive,Positive,Neutral,Neutral,Neutral,Positive
1372,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
1373,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1374,Positive,Positive,Neutral,Neutral,Neutral,Positive
1375,Positive,Positive,Neutral,Neutral,Neutral,Positive
1376,Neutral,Positive,Positive,Negative,Neutral,Neutral
1377,Neutral,Positive,Positive,Negative,Neutral,Neutral
1378,Positive,Positive,Neutral,Neutral,Neutral,Positive
1379,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1380,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1381,Positive,Positive,Neutral,Neutral,Neutral,Positive
